attempt_count,background_drain_completed,background_drain_wait_ms,cleanup_error_code,cleanup_error_message,com_references_released,conversion_attempted,conversion_completed,conversion_origin,current_status,document_close_attempted,document_closed,document_open_attempted,document_opened,effective_pdf_sha256,error_code,error_message,export_argument_count,export_attempted,export_completed,export_format_value,export_invocation_strategy,last_attempt_status,last_error_code,last_error_message,output_pdf,paper_id,post_export_settle_completed,post_export_settle_ms,primary_error_code,primary_error_message,retry_allowed,security_configured,security_gate_pass,source_sha256,source_size,stage_word_pid,successful_conversion_rerun,word_create_attempted,word_created,word_process_exited,word_quit_attempted,word_quit_called
1,1,0,,,1,1,1,DOC_BATCH_WORD,SUCCESS,1,1,1,1,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,,,2,1,1,17,TWO_REQUIRED_ARGUMENTS,SUCCESS,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2011-A-003\source_converted.pdf,CUMCM-2011-A-003,1,500,,,0,1,1,FDA40E0C371BD0C91806B4CB581162EC0F1C3B51A7CAEF492EDD71D6E602E038,1348608,40976,0,1,1,1,1,1
1,1,0,,,1,1,1,DOC_BATCH_WORD,SUCCESS,1,1,1,1,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,,,2,1,1,17,TWO_REQUIRED_ARGUMENTS,SUCCESS,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2011-C-003\source_converted.pdf,CUMCM-2011-C-003,1,500,,,0,1,1,CB99F5DD56122680A0797E642C8ED3463B12B388DBDA96E2F42A9345EE623696,587264,14576,0,1,1,1,1,1
1,1,0,,,1,1,1,DOC_BATCH_WORD,SUCCESS,1,1,1,1,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,,,2,1,1,17,TWO_REQUIRED_ARGUMENTS,SUCCESS,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2011-D-001\source_converted.pdf,CUMCM-2011-D-001,1,500,,,0,1,1,A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D,571392,41240,0,1,1,1,1,1
1,1,0,,,1,1,1,DOC_BATCH_WORD,SUCCESS,1,1,1,1,3A5513BF9594D27236C3F5B5C250C146382D3656B464D995AD071766017470D0,,,2,1,1,17,TWO_REQUIRED_ARGUMENTS,SUCCESS,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2011-D-007\source_converted.pdf,CUMCM-2011-D-007,1,500,,,0,1,1,97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5,594944,39908,0,1,1,1,1,1
1,1,0,,,1,1,1,DOC_BATCH_WORD,SUCCESS,1,1,1,1,E0D00DE3E92B4ED095EDABBB3CF10E359C825D4C37932ACC77A353A379838CF1,,,2,1,1,17,TWO_REQUIRED_ARGUMENTS,SUCCESS,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2011-D-013\source_converted.pdf,CUMCM-2011-D-013,1,500,,,0,1,1,2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A,1153536,16964,0,1,1,1,1,1
1,1,0,,,1,1,1,DOC_BATCH_WORD,SUCCESS,1,1,1,1,C40455E13E66A460C39DAE91E660AF11E2BE0F61C1F03DB321571CEEDC4ED207,,,2,1,1,17,TWO_REQUIRED_ARGUMENTS,SUCCESS,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-A-003\source_converted.pdf,CUMCM-2012-A-003,1,500,,,0,1,1,519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5,1970688,41100,0,1,1,1,1,1
1,1,0,,,1,1,1,DOC_BATCH_WORD,SUCCESS,1,1,1,1,F9F59407B33E60976DD4B86A6A897C0F1B0A8F0DA166337EBE76992CC2241465,,,2,1,1,17,TWO_REQUIRED_ARGUMENTS,SUCCESS,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-B-005\source_converted.pdf,CUMCM-2012-B-005,1,500,,,0,1,1,4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05,1717248,43448,0,1,1,1,1,1
1,1,0,,,1,1,1,DOC_BATCH_WORD,SUCCESS,1,1,1,1,547312CD5D3F57EB29292892142E79DE98B75C19C1D526ACB69B9EE834A3AA21,,,2,1,1,17,TWO_REQUIRED_ARGUMENTS,SUCCESS,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-B-007\source_converted.pdf,CUMCM-2012-B-007,1,500,,,0,1,1,F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F,887296,43744,0,1,1,1,1,1
1,1,0,,,1,1,1,DOC_BATCH_WORD,SUCCESS,1,1,1,1,1AF31EA4FE7E106AA9306E894B3471753F6077BF19A8A1F648A1E752E4CBC2E1,,,2,1,1,17,TWO_REQUIRED_ARGUMENTS,SUCCESS,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-C-003\source_converted.pdf,CUMCM-2012-C-003,1,500,,,0,1,1,D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212,1027072,5112,0,1,1,1,1,1
1,1,0,,,1,1,1,DOC_BATCH_WORD,SUCCESS,1,1,1,1,C2B4E0DA5C7AE5F7FCA6FADE85B00EB1588DA12FA3BF8F8B4523D1C4423B9F1D,,,2,1,1,17,TWO_REQUIRED_ARGUMENTS,SUCCESS,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-C-004\source_converted.pdf,CUMCM-2012-C-004,1,500,,,0,1,1,A610CEEE3C902F85C0FC590467868550F5CB9D52ECD57E21747EF890671CBDD7,748032,36628,0,1,1,1,1,1
1,0,,,,1,1,0,DOC_BATCH_WORD,FAILED,1,1,1,1,,EXPORT_ERROR,由于出现意外错误，导出失败。,2,1,0,17,TWO_REQUIRED_ARGUMENTS,FAILED,EXPORT_ERROR,由于出现意外错误，导出失败。,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-D-001\source_converted.pdf,CUMCM-2012-D-001,0,500,EXPORT_ERROR,由于出现意外错误，导出失败。,1,1,1,D93A9A6A9DE012927F8A5D4B36E1768CA3F6AFFB6952673F40FE2740D4032766,1146880,42464,0,1,1,1,1,1
0,,,,,,0,0,DOC_BATCH_WORD,PENDING,,,,,,,,,,,,,PENDING,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-D-D044\source_converted.pdf,CUMCM-2012-D-D044,,,,,1,,,,,,0,,,,,
0,,,,,,0,0,DOC_BATCH_WORD,PENDING,,,,,,,,,,,,,PENDING,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2013-D-004\source_converted.pdf,CUMCM-2013-D-004,,,,,1,,,,,,0,,,,,
0,,,,,,0,0,DOC_BATCH_WORD,PENDING,,,,,,,,,,,,,PENDING,,,D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2014-D-002\source_converted.pdf,CUMCM-2014-D-002,,,,,1,,,,,,0,,,,,
