counting_scope,denominator,metric,note,numerator,percentage,year
year,46,physical_carriers,manually verified,46,,2008
year,46,logical_documents,manually verified,46,,2008
year,27,solution_papers,manually verified,27,,2008
year,0,expert_commentaries,manually verified,0,,2008
year,4,problem_statements,manually verified,4,,2008
year,15,supporting_objects,manually verified,15,,2008
year,27,solution_lineages,manually verified,27,,2008
year,46,representations,manually verified,46,,2008
year,624,pdf_pages,manually verified,624,,2008
unique_solution_paper,27,problem_A_solution_count,,8,29.6,2008
unique_solution_paper,27,problem_B_solution_count,,13,48.1,2008
unique_solution_paper,27,problem_C_solution_count,,3,11.1,2008
unique_solution_paper,27,problem_D_solution_count,,3,11.1,2008
