counting_scope,denominator,metric,note,numerator,percentage,year
carrier_document,23,carrier_count,,23,100.0,2003
logical_document,23,logical_document_count,,23,100.0,2003
logical_document,23,role:award_paper,,20,87.0,2003
logical_document,23,role:expert_commentary,,3,13.0,2003
logical_document,23,role:other_related,,0,0.0,2003
logical_document,23,role:problem_statement,,0,0.0,2003
logical_document,23,role:solution_summary,,0,0.0,2003
logical_document,23,role:unknown,,0,0.0,2003
unique_award_paper,20,award_paper_count,,20,100.0,2003
unique_problem,0,problem_count,,0,,2003
solution_lineage,20,lineage_count,candidate lineages pending manual deduplication,20,100.0,2003
representation,23,representation_count,"count, not a paper percentage",23,100.0,2003
orphan_segment,191,orphan_count,automatic layer cannot assert absence; manual review pending,0,0.0,2003
logical_document,23,manual_review_queue,,23,100.0,2003
unique_award_paper,0,abstract:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,abstract:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,abstract:unknown,reported separately,8,40.0,2003
unique_award_paper,20,abstract:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,abstract:eligible_denominator,,0,0.0,2003
unique_award_paper,0,model_assumptions:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,model_assumptions:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,model_assumptions:unknown,reported separately,9,45.0,2003
unique_award_paper,20,model_assumptions:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,model_assumptions:eligible_denominator,,0,0.0,2003
unique_award_paper,0,symbol_definitions:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,symbol_definitions:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,symbol_definitions:unknown,reported separately,12,60.0,2003
unique_award_paper,20,symbol_definitions:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,symbol_definitions:eligible_denominator,,0,0.0,2003
unique_award_paper,0,model_validation:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,model_validation:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,model_validation:unknown,reported separately,17,85.0,2003
unique_award_paper,20,model_validation:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,model_validation:eligible_denominator,,0,0.0,2003
unique_award_paper,0,sensitivity_analysis:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,sensitivity_analysis:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,sensitivity_analysis:unknown,reported separately,18,90.0,2003
unique_award_paper,20,sensitivity_analysis:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,sensitivity_analysis:eligible_denominator,,0,0.0,2003
unique_award_paper,0,error_analysis:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,error_analysis:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,error_analysis:unknown,reported separately,18,90.0,2003
unique_award_paper,20,error_analysis:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,error_analysis:eligible_denominator,,0,0.0,2003
unique_award_paper,0,final_solution:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,final_solution:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,final_solution:unknown,reported separately,9,45.0,2003
unique_award_paper,20,final_solution:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,final_solution:eligible_denominator,,0,0.0,2003
unique_award_paper,0,final_answer_summary_table:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,final_answer_summary_table:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,final_answer_summary_table:unknown,reported separately,19,95.0,2003
unique_award_paper,20,final_answer_summary_table:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,final_answer_summary_table:eligible_denominator,,0,0.0,2003
unique_award_paper,0,flowchart:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,flowchart:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,flowchart:unknown,reported separately,20,100.0,2003
unique_award_paper,20,flowchart:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,flowchart:eligible_denominator,,0,0.0,2003
unique_award_paper,0,visualization:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,visualization:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,visualization:unknown,reported separately,8,40.0,2003
unique_award_paper,20,visualization:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,visualization:eligible_denominator,,0,0.0,2003
unique_award_paper,0,references:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,references:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,references:unknown,reported separately,8,40.0,2003
unique_award_paper,20,references:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,references:eligible_denominator,,0,0.0,2003
unique_award_paper,0,appendix:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,appendix:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,appendix:unknown,reported separately,16,80.0,2003
unique_award_paper,20,appendix:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,appendix:eligible_denominator,,0,0.0,2003
unique_award_paper,0,code_description:present,field-specific eligible denominator,0,,2003
unique_award_paper,0,code_description:absent,field-specific eligible denominator,0,,2003
unique_award_paper,20,code_description:unknown,reported separately,15,75.0,2003
unique_award_paper,20,code_description:not_applicable,reported separately,0,0.0,2003
unique_award_paper,20,code_description:eligible_denominator,,0,0.0,2003
