counting_scope,denominator,metric,note,numerator,percentage,year
year,27,physical_carriers,manually verified,27,,2009
year,27,logical_documents,manually verified,27,,2009
year,21,solution_papers,manually verified,21,,2009
year,0,expert_commentaries,manually verified,0,,2009
year,4,problem_statements,manually verified,4,,2009
year,1,supporting_objects,manually verified,1,,2009
year,21,solution_lineages,manually verified,21,,2009
year,27,representations,manually verified,27,,2009
year,393,pdf_pages,manually verified,393,,2009
year,1,secondary_publications,manually verified,1,,2009
unique_solution_paper,21,problem_A_solution_count,,7,33.3,2009
unique_solution_paper,21,problem_B_solution_count,,5,23.8,2009
unique_solution_paper,21,problem_C_solution_count,,5,23.8,2009
unique_solution_paper,21,problem_D_solution_count,,4,19.0,2009
