counting_scope,denominator,metric,note,numerator,percentage,year
carrier_document,7,carrier_count,,7,100.0,1992
logical_document,7,logical_document_count,,7,100.0,1992
logical_document,7,role:award_paper,,2,28.6,1992
logical_document,7,role:expert_commentary,,3,42.9,1992
logical_document,7,role:other_related,,0,0.0,1992
logical_document,7,role:problem_statement,,2,28.6,1992
logical_document,7,role:solution_summary,,0,0.0,1992
logical_document,7,role:unknown,,0,0.0,1992
unique_award_paper,2,award_paper_count,,2,100.0,1992
unique_problem,2,problem_count,,2,100.0,1992
solution_lineage,2,lineage_count,manually verified unique solution lineages,2,100.0,1992
representation,7,representation_count,"count, not a paper percentage",7,100.0,1992
orphan_segment,27,orphan_count,preserved excluded regions; denominator is valid primary segments,3,11.1,1992
logical_document,7,manual_review_queue,,1,14.3,1992
unique_award_paper,2,abstract:present,field-specific eligible denominator,2,100.0,1992
unique_award_paper,2,abstract:absent,field-specific eligible denominator,0,0.0,1992
unique_award_paper,2,abstract:unknown,reported separately,0,0.0,1992
unique_award_paper,2,abstract:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,abstract:eligible_denominator,,2,100.0,1992
unique_award_paper,2,model_assumptions:present,field-specific eligible denominator,2,100.0,1992
unique_award_paper,2,model_assumptions:absent,field-specific eligible denominator,0,0.0,1992
unique_award_paper,2,model_assumptions:unknown,reported separately,0,0.0,1992
unique_award_paper,2,model_assumptions:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,model_assumptions:eligible_denominator,,2,100.0,1992
unique_award_paper,2,symbol_definitions:present,field-specific eligible denominator,2,100.0,1992
unique_award_paper,2,symbol_definitions:absent,field-specific eligible denominator,0,0.0,1992
unique_award_paper,2,symbol_definitions:unknown,reported separately,0,0.0,1992
unique_award_paper,2,symbol_definitions:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,symbol_definitions:eligible_denominator,,2,100.0,1992
unique_award_paper,2,model_validation:present,field-specific eligible denominator,2,100.0,1992
unique_award_paper,2,model_validation:absent,field-specific eligible denominator,0,0.0,1992
unique_award_paper,2,model_validation:unknown,reported separately,0,0.0,1992
unique_award_paper,2,model_validation:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,model_validation:eligible_denominator,,2,100.0,1992
unique_award_paper,2,sensitivity_analysis:present,field-specific eligible denominator,1,50.0,1992
unique_award_paper,2,sensitivity_analysis:absent,field-specific eligible denominator,1,50.0,1992
unique_award_paper,2,sensitivity_analysis:unknown,reported separately,0,0.0,1992
unique_award_paper,2,sensitivity_analysis:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,sensitivity_analysis:eligible_denominator,,2,100.0,1992
unique_award_paper,2,error_analysis:present,field-specific eligible denominator,1,50.0,1992
unique_award_paper,2,error_analysis:absent,field-specific eligible denominator,1,50.0,1992
unique_award_paper,2,error_analysis:unknown,reported separately,0,0.0,1992
unique_award_paper,2,error_analysis:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,error_analysis:eligible_denominator,,2,100.0,1992
unique_award_paper,2,final_solution:present,field-specific eligible denominator,2,100.0,1992
unique_award_paper,2,final_solution:absent,field-specific eligible denominator,0,0.0,1992
unique_award_paper,2,final_solution:unknown,reported separately,0,0.0,1992
unique_award_paper,2,final_solution:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,final_solution:eligible_denominator,,2,100.0,1992
unique_award_paper,2,final_answer_summary_table:present,field-specific eligible denominator,0,0.0,1992
unique_award_paper,2,final_answer_summary_table:absent,field-specific eligible denominator,2,100.0,1992
unique_award_paper,2,final_answer_summary_table:unknown,reported separately,0,0.0,1992
unique_award_paper,2,final_answer_summary_table:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,final_answer_summary_table:eligible_denominator,,2,100.0,1992
unique_award_paper,2,flowchart:present,field-specific eligible denominator,0,0.0,1992
unique_award_paper,2,flowchart:absent,field-specific eligible denominator,2,100.0,1992
unique_award_paper,2,flowchart:unknown,reported separately,0,0.0,1992
unique_award_paper,2,flowchart:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,flowchart:eligible_denominator,,2,100.0,1992
unique_award_paper,2,visualization:present,field-specific eligible denominator,2,100.0,1992
unique_award_paper,2,visualization:absent,field-specific eligible denominator,0,0.0,1992
unique_award_paper,2,visualization:unknown,reported separately,0,0.0,1992
unique_award_paper,2,visualization:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,visualization:eligible_denominator,,2,100.0,1992
unique_award_paper,2,references:present,field-specific eligible denominator,2,100.0,1992
unique_award_paper,2,references:absent,field-specific eligible denominator,0,0.0,1992
unique_award_paper,2,references:unknown,reported separately,0,0.0,1992
unique_award_paper,2,references:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,references:eligible_denominator,,2,100.0,1992
unique_award_paper,2,appendix:present,field-specific eligible denominator,1,50.0,1992
unique_award_paper,2,appendix:absent,field-specific eligible denominator,1,50.0,1992
unique_award_paper,2,appendix:unknown,reported separately,0,0.0,1992
unique_award_paper,2,appendix:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,appendix:eligible_denominator,,2,100.0,1992
unique_award_paper,2,code_description:present,field-specific eligible denominator,1,50.0,1992
unique_award_paper,2,code_description:absent,field-specific eligible denominator,1,50.0,1992
unique_award_paper,2,code_description:unknown,reported separately,0,0.0,1992
unique_award_paper,2,code_description:not_applicable,reported separately,0,0.0,1992
unique_award_paper,2,code_description:eligible_denominator,,2,100.0,1992
