year,document_id,role,document_subtype,problem_id,title,corpus_eligibility,parse_status,segmentation_status,evidence_status,completeness_status,representation_count,preferred_representation_id,carrier_count,page_count,source_paths,manual_review_status,award_level,notes
2025,2025-DATA-A-001,dataset,supporting_data_or_template,A,A题/附件/result1.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0002,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/A题/附件/result1.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-A-002,dataset,supporting_data_or_template,A,A题/附件/result2.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0003,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/A题/附件/result2.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-A-003,dataset,supporting_data_or_template,A,A题/附件/result3.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0004,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/A题/附件/result3.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-B-001,dataset,supporting_data_or_template,B,B题/附件/附件1.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0006,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/B题/附件/附件1.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-B-002,dataset,supporting_data_or_template,B,B题/附件/附件2.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0007,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/B题/附件/附件2.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-B-003,dataset,supporting_data_or_template,B,B题/附件/附件3.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0008,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/B题/附件/附件3.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-B-004,dataset,supporting_data_or_template,B,B题/附件/附件4.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0009,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/B题/附件/附件4.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-C-001,dataset,supporting_data_or_template,C,C题/附件.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0011,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/C题/附件.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-D-001,dataset,supporting_data_or_template,D,D题/附件/附件1.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0013,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/D题/附件/附件1.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-D-002,dataset,supporting_data_or_template,D,D题/附件/附件2.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0014,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/D题/附件/附件2.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-D-003,dataset,supporting_data_or_template,D,D题/附件/附件3/result1-1.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0015,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/D题/附件/附件3/result1-1.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-D-004,dataset,supporting_data_or_template,D,D题/附件/附件3/result1-2.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0016,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/D题/附件/附件3/result1-2.xlsx,closed,unknown,不依据目录位置推断奖项等级。
2025,2025-DATA-D-005,dataset,supporting_data_or_template,D,D题/附件/附件3/result2-1.xlsx,eligible,structurally_inspected,file_level_complete,verified_from_supplied_bundle,complete_within_supplied_carrier,1,2025-REP-0017,1,0,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/D题/附件/附件3/result2-1.xlsx,closed,unknown,不依据目录位置推断奖项等级。
