year,logical_document_id,title,document_role,document_subtype,problem_code,corpus_eligibility,parse_status,evidence_status,completeness_status,segmentation_status,award_level,award_level_evidence,carrier_count,representation_count,preferred_representation_id,page_count,source_sha256,manual_review_status,notes
2019,logical_9ebe2ff009cb6c4a,2019A：基于数值模拟的高压油管压力控制模型,paper,solution_paper,A,eligible,complete,verified_from_supplied_carrier,complete_for_supplied_carrier,page_level_complete,unknown,not_observed,1,1,repr_9ebe2ff009cb6c4a,42,dc2facd0cfd35e1ad71b0f18213c51cd8de9fad06430fb1cb2efec6a3bc77167,reviewed_title_abstract_structure_and_render_integrity,同一文件未发现字节级重复；不依据目录推断奖项。
2019,logical_a499dc18aba95051,2019A：高压油管压力波动的稳定控制,paper,solution_paper,A,eligible,complete,verified_from_supplied_carrier,complete_for_supplied_carrier,page_level_complete,unknown,not_observed,1,1,repr_a499dc18aba95051,24,4c2c4e7772addc4fbc9d153f263b82622cfefa28619f6537fb6c5eec1979da50,reviewed_title_abstract_structure_and_render_integrity,同一文件未发现字节级重复；不依据目录推断奖项。
2019,logical_c82d9e01ec4dec10,2019A：高压油管的压强控制,paper,solution_paper,A,eligible,complete,verified_from_supplied_carrier,complete_for_supplied_carrier,page_level_complete,unknown,not_observed,1,1,repr_c82d9e01ec4dec10,40,805217ee3a78edff4799f1de969e4c05faecedebbec807afbadb03265c1273fd,reviewed_title_abstract_structure_and_render_integrity,同一文件未发现字节级重复；不依据目录推断奖项。
2019,logical_5f14dbb53708a105,2019B：同心鼓“同心协力”策略探究,paper,solution_paper,B,eligible,complete,verified_from_supplied_carrier,complete_for_supplied_carrier,page_level_complete,unknown,not_observed,1,1,repr_5f14dbb53708a105,27,4bb37c13f389734798a3ab8abb96cbda37473b9b4e2c1cc9a720a68474617b81,reviewed_title_abstract_structure_and_render_integrity,同一文件未发现字节级重复；不依据目录推断奖项。
2019,logical_2c7c20e8fdbf45c1,2019B：同心鼓最佳协作策略的研究,paper,solution_paper,B,eligible,complete,verified_from_supplied_carrier,complete_for_supplied_carrier,page_level_complete,unknown,not_observed,1,1,repr_2c7c20e8fdbf45c1,35,546270b8ee62c744d1870d85717f9e0bcc13a5d5b38b282a918570a0d1669b19,reviewed_title_abstract_structure_and_render_integrity,同一文件未发现字节级重复；不依据目录推断奖项。
2019,logical_b92cd38d2f6585e4,2019B：同心鼓运动模型的理论分析与策略研究,paper,solution_paper,B,eligible,complete,verified_from_supplied_carrier,complete_for_supplied_carrier,page_level_complete,unknown,not_observed,1,1,repr_b92cd38d2f6585e4,32,fdece372d16a207fa7c4b3bd6df08a459ff8f2ba9552df4ca9aedcc02d826e30,reviewed_title_abstract_structure_and_render_integrity,同一文件未发现字节级重复；不依据目录推断奖项。
2019,logical_d1a2bebfa9616f25,2019C：基于系统模拟的机场出租车决策与安排模型,paper,solution_paper,C,eligible,complete,verified_from_supplied_carrier,complete_for_supplied_carrier,page_level_complete,unknown,not_observed,1,1,repr_d1a2bebfa9616f25,39,8bb01eb671898a5687eac0058a5ae118f7459950957dec859011961f93595456,reviewed_title_abstract_structure_and_render_integrity,同一文件未发现字节级重复；不依据目录推断奖项。
2019,logical_e67041254721a593,2019C：机场出租车司机综合决策及机场出租车管理模型,paper,solution_paper,C,eligible,complete,verified_from_supplied_carrier,complete_for_supplied_carrier,page_level_complete,unknown,not_observed,1,1,repr_e67041254721a593,30,355fb07c5007b06eb0b6daec79244510c15f5c8b918f51808d6884b0db13668f,reviewed_title_abstract_structure_and_render_integrity,同一文件未发现字节级重复；不依据目录推断奖项。
2019,logical_12835ffaa968abe5,2019C：机场的出租车问题,paper,solution_paper,C,eligible,complete,verified_from_supplied_carrier,complete_for_supplied_carrier,page_level_complete,unknown,not_observed,1,1,repr_12835ffaa968abe5,39,630c0988f179cead02a118b48fab5223a2c78b87e15da3c8b0533fffdc664c09,reviewed_title_abstract_structure_and_render_integrity,同一文件未发现字节级重复；不依据目录推断奖项。
2019,logical_80f04b993b5859d8,2019D：空气质量数据的校准,paper,solution_paper,D,eligible,complete,verified_from_supplied_carrier,complete_for_supplied_carrier,page_level_complete,unknown,not_observed,1,1,repr_80f04b993b5859d8,24,085d4cc3af788d1e88364aa2c7fefd691867e340796eb0528e3c7da2d8411b9e,reviewed_title_abstract_structure_and_render_integrity,同一文件未发现字节级重复；不依据目录推断奖项。
