logical_document_id,title,document_role,document_subtype,problem_code,problem_id,solution_lineage_id,parse_status,evidence_status,segmentation_status,completeness_status,page_count
logical_a56c3b28302705ee,持续高产捕鱼策略,award_paper,none,A,problem_cumcm_1996_a,lineage_cumcm_1996_964b85b2bb3b751e,partially_parsed,key_content_verified,not_required,complete,8
logical_97bd6bb31fd81cad,最优捕鱼模型,award_paper,none,A,problem_cumcm_1996_a,lineage_cumcm_1996_f875c2aec0ed6b20,partially_parsed,key_content_verified,not_required,complete,4
logical_3998e44d778e7767,最优捕鱼策略,award_paper,none,A,problem_cumcm_1996_a,lineage_cumcm_1996_5880ca9adea6b594,partially_parsed,key_content_verified,not_required,complete,4
logical_bdf2987b92ad0cb1,最优捕鱼策略模型,award_paper,none,A,problem_cumcm_1996_a,lineage_cumcm_1996_fc1337e567417131,partially_parsed,key_content_verified,not_required,complete,8
logical_3f75c3b7e5c15d7c,最优捕鱼策略的设计,award_paper,none,A,problem_cumcm_1996_a,lineage_cumcm_1996_003fb47eab28e101,partially_parsed,key_content_verified,not_required,complete,7
logical_feea7e1ad0dc8273,最优捕鱼策略问题,award_paper,none,A,problem_cumcm_1996_a,lineage_cumcm_1996_103876d5d5cf3992,partially_parsed,key_content_verified,not_required,complete,6
logical_068002c0bc0c9333,最优捕鱼策略问题答卷评述,expert_commentary,none,A,problem_cumcm_1996_a,,partially_parsed,key_content_verified,not_required,complete,3
logical_3a06af18eed545f5,最佳捕鱼策略的数学模型,award_paper,none,A,problem_cumcm_1996_a,lineage_cumcm_1996_e1e4bcc810e8d627,partially_parsed,key_content_verified,not_required,complete,4
logical_95806805ddaffa25,关于洗衣机节水的数学模型,award_paper,none,B,problem_cumcm_1996_b,lineage_cumcm_1996_0ac055761a6eaf2d,partially_parsed,key_content_verified,not_required,complete,5
logical_7e673df934fb4eaa,洗衣机的节水优化模型,award_paper,none,B,problem_cumcm_1996_b,lineage_cumcm_1996_4ef28c8e18f26576,partially_parsed,key_content_verified,not_required,complete,5
logical_fb97269a4c9318bb,洗衣机的节水程序设计,award_paper,none,B,problem_cumcm_1996_b,lineage_cumcm_1996_3137b1d6659803e0,partially_parsed,key_content_verified,not_required,complete,11
logical_dc672f124ae8f632,节水洗衣机的设计,award_paper,none,B,problem_cumcm_1996_b,lineage_cumcm_1996_300d7cef27366fff,partially_parsed,key_content_verified,not_required,complete,4
logical_23cdc0f2d2e355b1,“节水洗衣机”问题数学建模及若干评注,expert_commentary,method_note,B,problem_cumcm_1996_b,,partially_parsed,key_content_verified,not_required,complete,5
logical_29f3a5583cbbe0d7,1996年A题：最优捕鱼策略,problem_statement,none,A,problem_cumcm_1996_a,,parsed,verified,segmented,complete,1
logical_1fc4b9ea2770c409,1996年B题：节水洗衣机,problem_statement,none,B,problem_cumcm_1996_b,,parsed,verified,segmented,complete,1
