logical_document_id,title,document_role,document_subtype,problem_code,problem_id,solution_lineage_id,parse_status,evidence_status,segmentation_status,completeness_status,page_count
logical_dc69cd33ecd42acb,DNA分类模型,award_paper,none,A,problem_cumcm_2000_a,lineage_cumcm_2000_cddc78dcccb4b071,partially_parsed,key_content_verified,segmented,complete,8
logical_86dc7281edaa3bdc,关于DNA序列分类问题的模型,award_paper,none,A,problem_cumcm_2000_a,lineage_cumcm_2000_a0d1aa90bcaeed71,partially_parsed,key_content_verified,segmented,complete,6
logical_478c2d600e0e369a,DNA序列的分类模型,award_paper,none,A,problem_cumcm_2000_a,lineage_cumcm_2000_1f4f75221de20547,partially_parsed,key_content_verified,segmented,complete,8
logical_6c9089d33e3274a7,DNA序列的分类,award_paper,none,A,problem_cumcm_2000_a,lineage_cumcm_2000_534da5d4294fc336,partially_parsed,key_content_verified,segmented,complete,8
logical_74f92636cbedd658,DNA序列分类的数学模型,award_paper,none,A,problem_cumcm_2000_a,lineage_cumcm_2000_43a16d6d23efbfa6,partially_parsed,key_content_verified,segmented,complete,8
logical_294820b548f5f727,DNA序列中的结构与简化模型,expert_commentary,problem_background,A,problem_cumcm_2000_a,,partially_parsed,key_content_verified,segmented,complete,5
logical_82666e7e6a7822f6,管道订购与运输问题,award_paper,none,B,problem_cumcm_2000_b,lineage_cumcm_2000_225d079ba66b2e60,partially_parsed,key_content_verified,segmented,complete,4
logical_4cf70466b5791c5d,管道订购和运输,award_paper,none,B,problem_cumcm_2000_b,lineage_cumcm_2000_f427413efe431f7c,partially_parsed,key_content_verified,segmented,complete,4
logical_27d96941783973f9,订购和运输钢管的最优方案,award_paper,none,B,problem_cumcm_2000_b,lineage_cumcm_2000_3123df8f25ca303c,partially_parsed,key_content_verified,segmented,complete,5
logical_f85e82134bb91270,钢管的订购和运输,award_paper,none,B,problem_cumcm_2000_b,lineage_cumcm_2000_0e9e6d662d83c489,partially_parsed,key_content_verified,segmented,complete,6
logical_e58e75a7c4a622e7,钢管的订购和运输解答模型,award_paper,none,B,problem_cumcm_2000_b,lineage_cumcm_2000_0f34ea1412b690f5,partially_parsed,key_content_verified,segmented,complete,8
logical_abcff98e4ee4cd63,钢管订购和运输策略,award_paper,none,B,problem_cumcm_2000_b,lineage_cumcm_2000_8aee34f3d145339d,partially_parsed,key_content_verified,segmented,complete,4
logical_3757882d273db384,一类运输问题的建模,expert_commentary,problem_background,B,problem_cumcm_2000_b,,partially_parsed,key_content_verified,segmented,complete,6
logical_00ada41c1bf9535b,关于“钢管订购和运输”的评注,expert_commentary,editorial_note,B,problem_cumcm_2000_b,,partially_parsed,content_verified_partial,segmented,missing_end,1
logical_e27aea2ee6b7700b,飞越北极的数学模型,award_paper,none,C,problem_cumcm_2000_c,lineage_cumcm_2000_13d8c096552c96a3,partially_parsed,key_content_verified,segmented,complete,8
logical_c414b56d460c09c7,“飞越北极”的数学模型,award_paper,none,C,problem_cumcm_2000_c,lineage_cumcm_2000_96a04de7f43265f0,partially_parsed,key_content_verified,segmented,complete,6
logical_47180a3ef1cde696,飞越北极,award_paper,none,C,problem_cumcm_2000_c,lineage_cumcm_2000_ccb116321e8369c2,partially_parsed,key_content_verified,segmented,complete,5
logical_e2155f4f45e2ea2f,航程计算的数学模型,expert_commentary,problem_background,C,problem_cumcm_2000_c,,partially_parsed,key_content_verified,segmented,complete,3
logical_f05ac12327f57540,空洞探测,award_paper,none,D,problem_cumcm_2000_d,lineage_cumcm_2000_699e004cbc2dfd29,partially_parsed,key_content_verified,segmented,complete,5
logical_069127a5f8b0b88f,空洞探测的最优解法,award_paper,none,D,problem_cumcm_2000_d,lineage_cumcm_2000_296e43c05aec5035,partially_parsed,key_content_verified,segmented,complete,3
logical_4be2da93352df232,空洞探测问题及有关情况,expert_commentary,problem_background,D,problem_cumcm_2000_d,,partially_parsed,key_content_verified,segmented,complete,3
logical_14609bfb783ffaac,2000年A题：DNA序列分类,problem_statement,none,A,problem_cumcm_2000_a,,parsed,verified,segmented,complete,3
logical_276a35d979f1775c,2000年B题：钢管订购和运输,problem_statement,none,B,problem_cumcm_2000_b,,parsed,verified,segmented,complete,3
logical_1cd1eb408b27526d,2000年C题：飞越北极,problem_statement,none,C,problem_cumcm_2000_c,,parsed,verified,segmented,complete,1
logical_4bdc7d75f95bbc18,2000年D题：空洞探测,problem_statement,none,D,problem_cumcm_2000_d,,parsed,verified,segmented,complete,1
