logical_document_id,title,document_role,document_subtype,problem_code,problem_id,solution_lineage_id,parse_status,evidence_status,segmentation_status,completeness_status,page_count
logical_0140cddd677eb49c,关于零件参数问题的建模,award_paper,none,A,problem_cumcm_1997_a,lineage_cumcm_1997_6f19cfb3016f7784,partially_parsed,key_content_verified,not_required,complete,5
logical_9bbd487dbb1f74e8,零件参数的优化设计,award_paper,none,A,problem_cumcm_1997_a,lineage_cumcm_1997_996731e21d355ae0,partially_parsed,key_content_verified,not_required,complete,5
logical_adcad50e009a41f7,零件参数设计的动态规划模型,award_paper,none,A,problem_cumcm_1997_a,lineage_cumcm_1997_b68a03f78a977cec,partially_parsed,key_content_verified,not_required,complete,5
logical_b34bd6454ec1420a,零件参数设计的数学模型,award_paper,none,A,problem_cumcm_1997_a,lineage_cumcm_1997_41ffb0c56f4562a6,partially_parsed,key_content_verified,not_required,complete,4
logical_23e3c4de4be0f730,零件的参数设计（1）,award_paper,none,A,problem_cumcm_1997_a,lineage_cumcm_1997_59b17eafc2ea8529,partially_parsed,key_content_verified,not_required,complete,5
logical_a0296255f48bd4c0,零件的参数设计（2）,award_paper,none,A,problem_cumcm_1997_a,lineage_cumcm_1997_576e38e22f957de1,partially_parsed,key_content_verified,not_required,complete,4
logical_c5eea15b8cd5fb65,零件的参数设计（3）,award_paper,none,A,problem_cumcm_1997_a,lineage_cumcm_1997_9ac7599f89d948fb,partially_parsed,key_content_verified,segmented,complete,8
logical_21d390cd7a1eec48,零件的参数设计（4）,award_paper,none,A,problem_cumcm_1997_a,lineage_cumcm_1997_803d4b87fc384fb5,partially_parsed,key_content_verified,not_required,complete,6
logical_9693c7c61b2aa469,切割次序的优化,award_paper,none,B,problem_cumcm_1997_b,lineage_cumcm_1997_1aaf93f111b5694f,partially_parsed,key_content_verified,not_required,complete,5
logical_6cd8cd4cc4674a94,截断切割中的最优排列问题,award_paper,none,B,problem_cumcm_1997_b,lineage_cumcm_1997_d5db2a80fdc02506,partially_parsed,key_content_verified,not_required,complete,3
logical_0a84219dfcf2c743,截断切割优化模型,award_paper,none,B,problem_cumcm_1997_b,lineage_cumcm_1997_94bbfde9f7a9f4b6,partially_parsed,key_content_verified,not_required,complete,6
logical_e19d39e74732a83a,截断切割的最优方案,award_paper,none,B,problem_cumcm_1997_b,lineage_cumcm_1997_30a107bbe6af4425,partially_parsed,key_content_verified,not_required,complete,6
logical_fd23872e9d0f45fa,最优切割次序模型,award_paper,none,B,problem_cumcm_1997_b,lineage_cumcm_1997_d4718dca69490281,partially_parsed,key_content_verified,not_required,complete,7
logical_0c10bb120c4c9bb0,最小费用切割策略,award_paper,none,B,problem_cumcm_1997_b,lineage_cumcm_1997_bb8b554f119057c5,partially_parsed,key_content_verified,not_required,complete,6
logical_c04329f6338972c0,长方体材料截断切割的优化设计,award_paper,none,B,problem_cumcm_1997_b,lineage_cumcm_1997_0db743142b4c89ed,partially_parsed,key_content_verified,not_required,complete,6
logical_9fd8fc2acba94f17,“零件的参数设计”模型和评述,expert_commentary,none,A,problem_cumcm_1997_a,,partially_parsed,key_content_verified,not_required,complete,4
logical_9d670d5894003125,勘误：数学建模工作中的疏忽,other_related,editorial_note,A,problem_cumcm_1997_a,,partially_parsed,verified,segmented,complete,1
logical_4e724f424464a64f,1997年A题：零件的参数设计,problem_statement,none,A,problem_cumcm_1997_a,,parsed,verified,not_required,complete,1
logical_cf307af4211913e3,1997年B题：截断切割,problem_statement,none,B,problem_cumcm_1997_b,,parsed,verified,not_required,complete,1
